"captchalogue_code","name","consumable","catalogue","lootonly","refrance","power","aggrieve","aggress","assail","assault","abuse","accuse","abjure","abstain","description","art","credit","abstratus","size","effects","Build_Grist_Cost","Amber_Cost","Amethyst_Cost","Artifact_Grist_Cost","Blood_Cost","Caulk_Cost","Chalk_Cost","Cobalt_Cost","Copper_Cost","Diamond_Cost","Emerald_Cost","Frosting_Cost","Garnet_Cost","Gold_Cost","Iodine_Cost","Jet_Cost","Malachite_Cost","Marble_Cost","Mercury_Cost","Obsidian_Cost","Opal_Cost","Polychromite_Cost","Quartz_Cost","Rainbow_Cost","Redstone_Cost","Rock_Candy_Cost","Rose_Quartz_Cost","Ruby_Cost","Rust_Cost","Shale_Cost","Star_Sapphire_Cost","Sulfur_Cost","Sunstone_Cost","Tar_Cost","Titanium_Cost","Topaz_Cost","Uranium_Cost","End_Of_Grists","hybrid"
"PCHOOOOO","Rocket Pack","0","0","1","0","20","0","0","0","0","0","0","0","0","Allows flight via highly volatile rockets strapped to one's back.","rocketpackcard.png","iZanami","notaweapon, flying","large","","25000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40000","0","0","0","50000","0","0","0","","0"
"nZ7Un6BI","Claw Hammer","0","1","0","0","2","0","0","0","0","0","0","0","0","An ordinary household hammer.","clawhammercard.png","Anti","hammerkind","small","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"00000000","Perfectly Generic Object","1","0","0","0","0","0","0","0","0","0","0","0","0","A medium-sized green cube. It is entirely generic in every way.","perfectlygenericobjectcard.png","omnipotentVirus","notaweapon","average","SHUNT::Your Alchemiter is now a Perfectly Generic Alchemiter. Which is to say, it\'s exactly the same as a regular Alchemiter.","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"126GH48G","Pogo Hammer","0","0","0","0","25","1","0","0","0","0","0","0","0","A bouncy hammer. Charge it up by bouncing it on either side of yourself and go nuts!","pogohammercard.png","Heroguy1278","hammerkind","average","","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","","0"
"OQXZ7nNN","Shitty sword","0","1","0","0","2","0","0","0","0","0","0","0","0","A shitty sword.","shittyswordcard.png","Anti","bladekind","average","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"WN6?TpMT","Picture of Hella Jeff","0","1","0","0","0","0","0","0","0","0","0","0","0","It's a picture of one of the characters from Sweet Bro and Hella Jeff. You would do well to heed his warnings regarding stairs.","hellajeffcard.png","omnipotentVirus","notaweapon","average","","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"0I0Y5nML","SORD.....","0","0","0","0","-5","0","0","0","-1","0","0","0","0","This thing is so unspeakably shitty you are having a hard time even holding it.","SORDcard.png","Heroguy1278","bladekind","average","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"MPd81h!6","Fountain Pen","0","1","0","0","2","0","0","0","0","0","0","0","0","They say the pen is mightier than the 0I0Y5nML. You don't really know what that means, though.","fountainpencard.png","BigYip69Weed","penkind","small","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"9G4W?f1e","Fruit Gushers - Hellacious Blue Phlegm Aneurysm flavour","1","0","0","0","0","0","0","0","0","0","0","0","0","Hellacious Blue Phlegm Aneurysm flavoured Fruit Gushers, formed from some kind of ectoplasmic slime. They have potent restorative properties when consumed, although you're not sure what the mercury has to do with that.","hellaciousgushers.png","WZaD","notaweapon","small","","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","","0"
"hG7s?lPf","Blue Ecto-Slime","0","1","0","0","0","0","0","0","0","0","0","0","0","Some funny-looking ectoplasmic slime. This blue stuff is supposedly restorative in some way.","blueectoslime.png","imaginaryUnit","notaweapon","average","","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"DwiW!f7k","Fruit Gushers - Massive Tropical Brain Hemorrhage flavour","1","1","0","0","0","0","0","0","0","0","0","0","0","Delicious, sugary candy.","massivetropicalbrainhemorrage.png","omnipotentVirus","notaweapon","small","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0"
"azpq!?!S","Bottle of Ink","0","1","0","0","0","0","0","0","0","0","0","0","0","A normal bottle of ink. The words ""Squid Pro Quo"" are written on it for some reason.","bottleofinkcard.png","quasipseudoHipster","notaweapon","small","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","0"
"0G0W?e18","Fruit Gushers - Bodacious Black Liquid Sorrow flavour","1","0","0","0","0","0","0","0","0","0","0","0","0","Bodacious Black Liquid Sorrow flavoured Fruit Gushers. Highly poisonous, consumption of these candies is not recommended.","","","notaweapon","small","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","","0"
"0G000e10","Gothic Sorrow Livejournal Poetry Pen","0","0","0","0","100","10","-5","0","0","-5","8","0","0","Write about the infinite blackness of your rainy soul miasma with this pen designed for two things: Deeply sad emotional poetry, and slowly draining the life from your enemies. For added sadness, try both at the same time!","","","penkind","average","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","4000","0","0","0","","0"
"DQMmJLeK","Green Slime Ghost Pogo","0","1","0","0","2","0","0","0","0","0","0","0","0","Some sort of nostalgic childhood ride. You're not entirely sure why you have one.","greenslimepogoride.png","imaginaryUnit","notaweapon","large","","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"Lbrn0VKY","Spatula","0","1","0","0","2","0","0","0","0","0","0","0","0","This common spatula is useful for few things other than flipping burgers, omelettes and other food items to ensure equal doneness. Though in the right hands, it becomes a tool for serving up heaping dishes of pain.","spatulacard.png","BigYip69Weed","spatulakind","small","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"MRdg5x!N","PEN FIFTEEN","0","0","0","0","-5","0","0","0","0","0","0","0","0","Luridly coloured and highly offensive, the PEN FIFTEEN is the height of weaponry for the shitty jpeg penkind user.","Penfifteencard.png","KettleWarrior","penkind","average","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
